# Timestep     No_Moles     No_Specs     Pt1536	H	O	
708          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
808          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
908          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
1008          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
1108          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
1208          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
1308          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
1408          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536O	H	
1508          3          2	 1	 2	
# Timestep     No_Moles     No_Specs     Pt1536O	H	
1608          3          2	 1	 2	
# Timestep     No_Moles     No_Specs     Pt1536O	H	
1708          3          2	 1	 2	
# Timestep     No_Moles     No_Specs     Pt1536O	H	
1808          3          2	 1	 2	
# Timestep     No_Moles     No_Specs     Pt1536O	H	
1908          3          2	 1	 2	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
2008          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
2108          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
2208          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
2308          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
2408          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
2508          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
2608          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
2708          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
2808          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
2908          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
3008          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
3108          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
3208          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
3308          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
3408          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
3508          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
3608          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
3708          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
3808          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
3908          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
4008          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
4108          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
4208          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
4308          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
4408          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
4508          4          3	 1	 2	 1	
# Timestep     No_Moles     No_Specs     Pt1536	H	O	
4608          4          3	 1	 2	 1	
